date,Kone
2016-10-27,34
2016-10-28,36
2016-10-29,42
2016-10-30,14
2016-10-31,12
2016-11-01,24
2016-11-02,56
2016-11-03,22
2016-11-04,47
2016-11-05,84
2016-11-06,54
2016-11-07,11
2016-11-08,65
2016-11-09,36
2016-11-10,34
2016-11-11,24
2016-11-12,14
2016-11-13,27
2016-11-14,11
2016-11-15,45
2016-11-16,68
2016-11-17,0
2016-11-18,58
2016-11-19,28
2016-11-20,40
2016-11-21,23
2016-11-22,34
2016-11-23,62
2016-11-24,0
2016-11-25,51
2016-11-26,78
2016-11-27,13
2016-11-28,21
2016-11-29,31
2016-11-30,64
2016-12-01,65
2016-12-02,44
2016-12-03,38
2016-12-04,0
2016-12-05,29
2016-12-06,20
2016-12-07,21
2016-12-08,11
2016-12-09,68
2016-12-10,53
2016-12-11,13
2016-12-12,64
2016-12-13,85
2016-12-14,54
2016-12-15,100
2016-12-16,0
2016-12-17,40
2016-12-18,27
2016-12-19,23
2016-12-20,23
2016-12-21,36
2016-12-22,0
2016-12-23,0
2016-12-24,14
2016-12-25,45
2016-12-26,79
2016-12-27,36
2016-12-28,48
2016-12-29,24
2016-12-30,24
2016-12-31,13
2017-01-01,54
2017-01-02,36
2017-01-03,56
2017-01-04,56
2017-01-05,45
2017-01-06,56
2017-01-07,39
2017-01-08,13
2017-01-09,54
2017-01-10,86
2017-01-11,65
2017-01-12,77
2017-01-13,55
2017-01-14,26
2017-01-15,38
2017-01-16,22
2017-01-17,85
2017-01-18,64
2017-01-19,32
2017-01-20,65
2017-01-21,0
2017-01-22,25
2017-01-23,93
2017-01-24,64
2017-01-25,32
